Country,HeadOfState,Status,HeadGoverment,StatusGoverment,Continent
Norway,33237000,King royal grant,210714,Prime Minister,Europe
Oman,7238000,Sultan privy purse 1975,NA,NA,Asia
Pakistan,65794,President,13553,Prime Minister,Asia
Palau,90000,President,NA,NA,Oceania
Palestine,120000,President,48000,Prime Minister,Asia
Panama,84000,President,NA,NA,Americas
Papua New Guinea,56249, Governor General[a],107532,Prime Minister,Africa
Paraguay,103044,President,NA,NA,Americas
Peru,56530,President,51537,Prime Minister,Americas
Philippines,95554,President,NA,NA,Asia
Poland,70026,President,57772,Prime Minister,Europe
Portugal,96469,President,72352,Prime Minister,Europe
Qatar,36000000,Emir royal grant,NA,NA,Asia
Romania,61296,President,61296,Prime Minister,Europe
Russian Federation,136000,President,105000,Prime Minister,Europe
Rwanda,85000,President,NA,NA,Africa
St. Kitts & Nevis,51000,Governor General[a],50844,Prime Minister,Americas
St. Lucia,36111,Governor General[a],50685,Prime Minister,Americas
St. Vincent & the Grenadines,45042,Governor General[a],55724,Prime Minister,Americas
Samoa,82000,Head of State,78000,Prime Minister,Oceania
San Marino,83682,Both Captain Regents,NA,NA,Europe
Sao Tome and Principe,2930,President,2100,Prime Minister,Africa
Saudi Arabia,9600000000,King royal allowance,132400,Ministers,Asia
Senegal,15210,President,NA,NA,Africa
Serbia,14950,President,13736,Prime Minister,Europe
Seychelles,23700,President,21800,Vice President,Africa
Sierra Leone,12220,President,NA,NA,Africa
Singapore,1442000,President,1610000,Prime Minister,Asia
Slovakia,129284,President,70973,Prime Minister,Europe
Slovenia,80142,President,87818,Prime Minister,Europe
Solomon Islands,16640,Governor-General[a],18181,Prime Minister,Oceania
Somalia,120000,President,NA,NA,Africa
South Africa,223500,President,NA,NA,Africa
South Korea,211320,President,NA,NA,Asia
South Sudan,60000,President,NA,NA,Africa
Spain,304055,King royal grant,97926,Prime Minister,Europe
Sri Lanka,7380,President,5600,Prime Minister,Asia
Sudan,29320,President,NA,NA,Africa
Suriname,133560,President,116870,Vice President,Americas
Swaziland,56051336,King royal grant,51600,Prime Minister,Africa
Sweden,15752000,King royal grant,244615,Prime Minister,Europe
Switzerland,507000,President,495000,Federal Council,Europe
Syria,NA,NA,18285,Prime Minister,Asia
Taiwan,180000,President,121500,Premier,Asia
Tajikistan,13200,President,NA,NA,Asia
Tanzania,47300,President,45000,Prime Minister,Africa
Thailand,84000000,King budget allocation to the Bureau of the Royal Household,49728,Prime Minister,Asia
Togo,NA,NA,NA,NA,Africa
Tonga,2129540,King royal grant,41504,Prime Minister,Oceania
Trinidad & Tobago,54600,President,85600,Prime Minister,Americas
Tunisia,16700,President,33355,Prime Minister,Africa
Turkey,197400,President,NA,NA,Asia
Turkmenistan,10800,President,NA,NA,Asia
Tuvalu,17660,Governor-General[a],19808,Prime Minister,Oceania
Uganda,183216,President,NA,NA,Africa
Ukraine,11600,President,3840,Prime Minister,Europe
United Arab Emirates,4608273000,President privy purse,261400,Prime Minister,Asia
United States of America,400000,President,NA,NA,Americas
Great Britain and Northern Ireland,122442508,Queen[b] Sovereign grant,185500,Prime Minister ,Europe
Uruguay,139608,President,NA,NA,Americas
Uzbekistan,15600,President,NA,NA,Asia
Vanuatu,32295,President,32295,Prime Minister,Oceania
Vatican,0,Pope,NA,NA,Europe
Venezuela,48816,President,NA,NA,Americas
Viet Nam,8320,President,8000,Prime Minister,Asia
Yemen,15300,President,12040,Prime Minister,Asia
Zambia,63100,President,43800,Vice President,Africa
Zimbabwe,146590,President,NA,NA,Africa
